cluster,n_cenarios,precipitacao,umidade_especifica,umidade_relativa,temperatura
1,11,2232.2172727272728,17.80545454545455,83.91636363636364,25.986363636363638
2,17,2733.5176470588235,18.33764705882353,85.65235294117647,26.118823529411763
3,11,2359.0245454545457,18.39272727272727,84.14545454545454,26.480909090909094
