modelo,MAE,RMSE,R2
Random Forest,3597.217064737781,5016.929371396765,0.9947735733094123
Regressão Linear,3985.565551588093,5412.861330046465,0.9939160912532605
Média por cultura,4077.381048387098,5427.702621532315,0.9938826831007503
Gradient Boosting,3938.9684073410663,5595.997070281544,0.9934974478204477
Árvore de Decisão,3745.713721264372,5900.257998657838,0.9927711220289684
SVR (RBF),4365.128155360535,6594.006682218219,0.99097124944033
Média global,59215.18346774194,69396.44708746966,-7.740357537366904e-06
